feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Microbacterium	Diet	IM	6.00035789812782	0.0834922766409883	47	24	1.34736289613425e-45	5.82060771129995e-43
Lactobacillus	Diet	IM	-3.93608050581044	0.0815817501292925	47	47	2.04551489874453e-38	4.41831218128819e-36
Geobacillus	Diet	IM	-7.51072785807475	0.173322951954557	47	25	1.70655420229057e-36	2.45743805129842e-34
p__RsaHF231	Diet	IM	7.57648996025958	0.0949877923594022	47	24	1.14261575351087e-30	1.23402501379174e-28
Oceanobacillus	Diet	IM	10.4823513448959	0.406113608485018	47	39	2.16270063978453e-27	1.86857335277383e-25
f__Peptostreptococcaceae	Diet	IM	-8.03518397137674	0.316237944251718	47	42	4.02675629722259e-27	2.89926453400026e-25
f__Beutenbergiaceae	Diet	IM	1.67870541460348	0.0666371114495914	47	23	5.64848025211007e-27	3.48591924130221e-25
Gracilibacillus	Diet	IM	1.62629078709488	0.066410002565184	47	23	1.72224272140475e-26	9.30011069558562e-25
Weissella	Diet	IM	-3.55617384008693	0.185749954084759	47	47	2.30523100934268e-22	1.10651088448449e-20
Photobacterium	Diet	IM	-6.74909571729224	0.403651074352733	47	31	3.56708877441708e-20	1.54098235054818e-18
Enterococcus	Diet	IM	4.4515036314289	0.26786794926506	47	46	4.4612580410362e-20	1.75205770338876e-18
f__Atopobiaceae	Diet	IM	-5.15864666606461	0.188148364804474	47	26	3.36424019755697e-19	1.21112647112051e-17
Clostridium.sensu.stricto.7	Diet	IM	-4.19920727172842	0.268685594522303	47	24	4.13886163432363e-19	1.37537555848293e-17
Kurthia	Diet	IM	-3.59975349674508	0.231084095305629	47	47	4.65534609922803e-19	1.43650679633322e-17
Psychrilyobacter	Diet	IM	-5.18644108949598	0.344805431049847	47	31	1.6283770720161e-18	4.68972596740636e-17
Cetobacterium	Diet	IM	-7.28643764160008	0.499064398011493	47	27	4.67547158361185e-18	1.2623773275752e-16
Clostridium.sensu.stricto.5	Diet	IM	-4.80554919749224	0.338900026354848	47	23	1.30267891549599e-17	3.12642939719038e-16
