feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lactobacillus	Diet	IM	-0.745843432365485	0.0591877312209163	48	48	2.31755871546667e-16	1.90039814668267e-14
f__Peptostreptococcaceae	Diet	IM	-2.13754500928748	0.200523681692535	48	32	6.76534394776322e-14	2.77379101858292e-12
Gracilibacillus	Diet	IM	0.602064605572864	0.0664950192203198	48	25	1.06226495833852e-11	2.90352421945863e-10
f__Enterococcaceae	Diet	IM	1.44268665448538	0.187155356882	48	31	9.18668177675954e-10	1.53345574006871e-08
Macrococcus	Diet	IM	1.03930979601162	0.134918097615931	48	27	9.35033987846775e-10	1.53345574006871e-08
p__RsaHF231	Diet	IM	0.929636099580173	0.13991045991869	48	33	3.4367783010306e-08	4.69693034474182e-07
Ornithinibacillus	Diet	IM	0.535446757670174	0.0887621994474315	48	37	2.7952548160463e-07	3.27444135593995e-06
f__Beutenbergiaceae	Diet	IM	0.493249778366516	0.0841270015272562	48	29	4.98258943692343e-07	5.03012305365709e-06
Photobacterium	Diet	IM	-1.20401396771455	0.206411163216992	48	18	5.520866766209e-07	5.03012305365709e-06
Microbacterium	Diet	IM	0.358022140916283	0.0638557402364611	48	30	1.19295537711663e-06	9.78223409235633e-06
Lysinibacillus	Diet	IM	0.92538654154728	0.17143530929835	48	36	2.42051375868859e-06	1.80438298374968e-05
Peptostreptococcus	Diet	IM	-1.47627279053866	0.250409346631653	48	28	6.22236352568231e-06	4.25194840921625e-05
Paenibacillus	Diet	IM	0.677511902892728	0.125305378346624	48	21	1.97852631872566e-05	0.000124799352411926
Globicatella	Diet	IM	0.429201133850083	0.0909375954451772	48	37	2.32448423382322e-05	0.000136148362266789
Nosocomiicoccus	Diet	IM	0.680148801605245	0.151523751848132	48	18	4.93698959775026e-05	0.000269888764677014
f__Planococcaceae	Diet	IM	0.826782960475925	0.0936387859446542	48	24	0.000117241807229664	0.000600864262052029
Brevibacterium	Diet	IM	0.341507259927237	0.0850214866696828	48	36	0.000221437277878688	0.00106810922270896
o__Bacillales	Diet	IM	0.778353064481127	0.120093416356065	48	26	0.000641054582455319	0.00292035976451867
Photobacterium	Compartment	DI	-0.729039796938516	0.206411163216992	48	18	0.000965972961287846	0.00416893593818965
Exiguobacterium	Diet	IM	0.993453628541215	0.175124568152789	48	16	0.00129176626260384	0.00529624167667575
Actinomyces	Diet	IM	0.470475136312365	0.0840780961662489	48	34	0.00138635310031295	0.00541337877265055
Clostridium.sensu.stricto.1	Diet	IM	0.416694408062554	0.0766665628936927	48	29	0.00160965867308616	0.00596582172484938
Oceanobacillus	Diet	IM	0.811343328971891	0.150415801366729	48	39	0.00167334023989678	0.00596582172484938
Oceanobacillus	Compartment	DI	0.379883045260968	0.113437562115643	48	39	0.0018087324550554	0.00617983588810594
Pediococcus	Diet	IM	-0.671328926821647	0.215944208730935	48	39	0.00325300643610386	0.0106698611104206
Lysinibacillus	Compartment	DI	0.529217936816515	0.17143530929835	48	36	0.00345602204405993	0.0108997618312659
f__Peptostreptococcaceae	Compartment	DI	-0.596747680866924	0.200523681692535	48	32	0.00468667271303489	0.0142335986099578
Leuconostoc	Diet	IM	-1.10715222470415	0.25836114696351	48	20	0.00517551628127031	0.0151568691094345
Corynebacterium.1	Compartment	DI	0.374860354459207	0.128808003751779	48	43	0.00593999371047202	0.0158474255585089
Lactobacillus	Compartment	DI	-0.171301256931905	0.0591877312209163	48	48	0.00584290639744059	0.0158474255585089
Staphylococcus	Diet	IM	0.426806866938225	0.102771135981906	48	27	0.00599109990626556	0.0158474255585089
f__Bacillaceae	Compartment	DI	0.716786549719364	0.250625371569187	48	40	0.00677191927062166	0.017353043130968
Bacillus	Diet	IM	0.969086114035329	0.245517034058187	48	42	0.00756259485600957	0.0187919023694783
f__Bacillaceae	Diet	IM	1.29138081894376	0.33336631508153	48	40	0.0082301494443183	0.0198491839539441
Brevibacterium	Compartment	DI	0.231791498898728	0.0850214866696828	48	36	0.00909591917493176	0.0213104392098401
o__Lactobacillales	Diet	IM	0.563156787530008	0.156722087600219	48	35	0.0114577017772566	0.0260980984926401
Ornithinibacillus	Compartment	DI	0.229843970605778	0.0887621994474315	48	37	0.012905354604965	0.0280149199711445
Savagea	Diet	IM	0.504380521615688	0.186580588746462	48	27	0.012982523889067	0.0280149199711445
Enterococcus	Diet	IM	0.500165362910085	0.146226397423568	48	41	0.0141352933036101	0.0297203602793853
Corynebacterium.1	Diet	IM	0.535602472956774	0.161314829254923	48	43	0.0159997772692197	0.0327995434019003
Cellulosimicrobium	Diet	IM	0.570035069435275	0.179843849733498	48	18	0.0193282814308844	0.0377361685079172
Exiguobacterium	Compartment	DI	-0.359837029491588	0.142478982942643	48	16	0.0188963092952618	0.0377361685079172
Lactococcus	Diet	IM	-1.00950025229324	0.343185369614994	48	31	0.0258951269627366	0.0493814049056837
